customer_id,customer_name,customer_segment
310,Jack Jackson,Consumer
311,Rayan Young,Corporate
312,Leo Roberts,Small Business
313,Zara Ahmed,Corporate
314,Charlotte Hossain,Consumer
315,Daniel Hossain,Consumer
316,Samira Clark,Consumer
317,Lucas Evans,Corporate
318,Thomas Harris,Small Business
319,Amelia Anderson,Corporate
320,John Ali,Consumer
321,Emma Smith,Small Business
322,Fatima Walker,Consumer
323,Omar Miller,Consumer
324,Ethan Miller,Consumer
325,Mia Rahman,Corporate
326,Omar Clark,Consumer
327,Akash Hossain,Consumer
328,Jack Taylor,Consumer
329,Samira Hossain,Small Business
330,Nabila Walker,Consumer
331,Jack Chowdhury,Consumer
332,Grace Hossain,Consumer
333,Grace Walker,Small Business
334,Olivia Wilson,Corporate
335,Jack Harris,Consumer
336,Akash Chowdhury,Consumer
337,Hannah Young,Small Business
338,Maya Haque,Small Business
339,Isabella Garcia,Consumer
340,Hannah Johnson,Consumer
341,Arjun White,Consumer
342,William Johnson,Corporate
343,Nadia Islam,Small Business
344,James Davis,Corporate
345,James Ali,Consumer
346,Omar Jackson,Corporate
347,Liam Khan,Corporate
348,William Brown,Consumer
349,Omar Ahmed,Consumer
350,Nadia Taylor,Corporate
351,Hannah Jackson,Consumer
352,Lucas Roberts,Consumer
353,Daniel Walker,Small Business
354,William Haque,Corporate
355,Layla Miller,Consumer
356,Olivia Taylor,Small Business
357,Grace Roberts,Corporate
358,Noah Miller,Small Business
359,Leo Haque,Consumer
360,Hasan Roberts,Corporate
361,Sarah Lewis,Consumer
362,Fatima Taylor,Consumer
363,William Taylor,Corporate
364,Hannah Clark,Consumer
365,Jack Martin,Corporate
366,Olivia Hossain,Corporate
367,Michael Martin,Consumer
368,Ethan Smith,Corporate
369,Charlotte White,Consumer
370,Grace Wilson,Small Business
371,Zara Lewis,Consumer
372,Jack Karim,Small Business
373,Sarah Taylor,Corporate
374,Samira Roberts,Consumer
375,Rayan Roberts,Small Business
376,William Khan,Small Business
377,Samira Lewis,Small Business
378,Sophia Lewis,Consumer
379,Jack Young,Corporate
380,Zara Martin,Corporate
381,Arjun Thomas,Consumer
382,John Islam,Consumer
383,Emma Clark,Consumer
384,Ethan Thomas,Consumer
385,Olivia Khan,Consumer
386,Sarah Khan,Consumer
387,Olivia Johnson,Small Business
388,Hasan Thomas,Consumer
389,Imran Johnson,Consumer
390,Michael Chowdhury,Small Business
391,Olivia Miller,Corporate
392,Nadia Wilson,Corporate
393,Isabella Martin,Consumer
394,Omar Martin,Consumer
395,Lucas Taylor,Corporate
396,Noah Walker,Consumer
397,Sarah Karim,Consumer
398,Nabila Miller,Consumer
399,Noah Rahman,Corporate
400,Aisha Anderson,Corporate
